kejia_000001	冇系佢表哥
kejia_000245	送盒去你用五盒
kejia_000246	史上第一战托桑克
kejia_000247	估计系唔敢讲真名诶
kejia_000248	天热时候娘不娘
kejia_000249	给就唔供啦上佢啲
kejia_000250	俊才好三张椅子可以坐诶
kejia_000251	你还快乐起来吗
kejia_000252	妹妹们好不好
kejia_000253	一直太湿老婆
kejia_000254	听讲你上班呢挨一啖笑
kejia_000255	嗯哼嗯故意请师兄们
kejia_000256	爱会远了你将相信
kejia_000257	俺也想被人两万斤咖喱
kejia_000258	外国嘅超人女侠好啊
kejia_000259	俺送了宝马呢
kejia_000260	五月份算命了
kejia_000261	哪个世界有童话
kejia_000262	劫然啦挨勒哭救啊
kejia_000263	系另外一种幸福的感觉
kejia_000264	润你唔超凉着咩
kejia_000265	爱上爱人家水木嘅
kejia_000266	半只钟头就到五零零了
kejia_000267	你就还不卡啊
kejia_000268	站唔住唉铁痴地
kejia_000269	哦也不讲困困啊
kejia_000270	听花唔着先食唔肥啊
kejia_000271	似乎不停地带小孩那么费事
kejia_000272	有钱冇帮我充张卡
kejia_000273	俺晓得俺强哈给
kejia_000274	看来俺还五口日
kejia_000275	俺家属于送法来了犯法
kejia_000276	下周来见王吧条件列
kejia_000277	给鱼拌炒锅啊出皮逛逛啦
kejia_000278	我也会一起上岸的请自问
kejia_000279	黑的矮的胖的
kejia_000280	我落课诶等你下阵聊
kejia_000281	买嘅彩票中嘅三甲市
kejia_000282	爱信着捏造的鬼片
kejia_000283	经常爱用唔系用嘅
kejia_000284	好吧俺自个儿转去吧
kejia_000285	感冒诶发烧诶
kejia_000286	都冇看到你嘅相片哦
kejia_000287	继续生菜开始干
kejia_000288	还有几天能恢复
kejia_000289	佢唔读同唔解释地
kejia_000290	不少诶小熊莫胡思乱想诶
kejia_000291	三块苏北唔该
kejia_000292	设电锅无码灶更加热热啲
kejia_000293	又有咩烦心事啊
kejia_000294	怎么搞的脚板
kejia_000295	俺不能做俘虏诶
kejia_000296	唉前面都讲了啊要帮佢保密
kejia_000297	进屋看还喐叫几乎挨
kejia_000298	挨劫也冇喷发啊
kejia_000299	看双鱼座冇硬太好诶
kejia_000300	是否话行开上司啊
kejia_000301	唔食面还食面啊
kejia_000302	好注意好身体
kejia_000303	房啊哪度诶
kejia_000304	可以啊不过唔系几难
kejia_000305	出汗嘞出去溜冰一哈
kejia_000306	简单来讲就是冇好好学习
kejia_000307	嗯啊你也加油
kejia_000308	好吧挨看纪律
kejia_000309	唉喊唔停你唔上炕床
kejia_000310	以前比俺大以前还失眠
kejia_000311	买严啲的假吊眼拉唔拉皮啊
kejia_000312	汗滴快都给我掉
kejia_000313	你还用我哥诶
kejia_000314	其实我根本唔信
kejia_000315	觉得那样都唔突然
kejia_000316	你有没看到龚晓亮
kejia_000317	小五让小五抱一下
kejia_000318	哦比我快好多诶
kejia_000319	买啲花俾佢又系买酒佢
kejia_000320	以前都是这种认为呢
kejia_000321	出哪个主意啊
kejia_000322	长高讨什么本呐
kejia_000323	总比应该好多了
kejia_000324	给你黑咱爸生日
kejia_000325	你下周有么啊
kejia_000326	阿紫帮我装件咖喱香片吧
kejia_000327	五闷去年几我安排洗马么
kejia_000328	下次转去唔去看你哼
kejia_000329	冇事牙签唔同聊诶
kejia_000330	还蛮能去呢下周三去
kejia_000331	唔知嘅俺同学摸嘅彩艺活卡
kejia_000332	只晓得嗷嗷而死了
kejia_000333	水木嘅唔上通路叫你
kejia_000334	唔发相先唔得咩
kejia_000335	俺要去吃点东西肚饥诶
kejia_000336	你只能是五吗
kejia_000337	俺是看到讲有诶就去拿顶
kejia_000338	播音机飞单挑
kejia_000339	捏的飞发亮好啊
kejia_000340	俺等周六都有课
kejia_000341	吃菜嘛呀乱哄哄的
kejia_000342	同每次吵架都把爱分开
kejia_000343	嗯该次还没洗诶
kejia_000344	经营工业五雪藏
kejia_000345	具体嘛时候会团中呢
kejia_000346	俺的微信号码是俺的生日
kejia_000347	西门啊三十四年呢冇乒乓球来
kejia_000348	老婆你今天可以接电话吗
kejia_000349	为你的同学保五七
kejia_000350	俺生的烦多谢到点
kejia_000351	系你自己唔愿意同我聊
kejia_000352	俺靠你二同老板拿的钱
kejia_000353	你最中意嘛东西啊
kejia_000354	看来还彼此彼此啊
kejia_000355	上海还是洛阳料啊
kejia_000356	老师管都管唔到
kejia_000357	沾赌的人禁止买彩票
kejia_000358	我还是超级想你
kejia_000359	天蒙的诶那吴卡很哪样
kejia_000360	干俺也去闷哈去
kejia_000361	麦基尔唔按套音挨咩
kejia_000362	嗯会挃诶我又毋傻
kejia_000363	错诶你很马秒哦
kejia_000364	倒奶诶喊人么
kejia_000365	我下星期又开始上学诶
kejia_000366	唔知点解唔理我啊
kejia_000367	弄啊谈嘛七
kejia_000368	因为高德体格导演
kejia_000369	突然之间感觉唔想讲得太多
kejia_000370	我一整夜老是欠钱
kejia_000371	见唔翻我好唔安乐啊
kejia_000372	有冇我哋黑货卖科茶
kejia_000373	本身发一张微笑
kejia_000374	来再复习一下下个礼拜二转去
kejia_000375	看来明天就难赢了
kejia_000376	哈哈有点痴恋啊
kejia_000377	你有某胸靠啊
kejia_000378	韩文婷嗯秀啊臭马杰
kejia_000379	做嘛错呀万点呢
kejia_000380	幽闭妖魔喺丁英夫上咗五选
kejia_000381	天阳铁好看一起梦了吗
kejia_000382	但系天花我天花唔痛
kejia_000383	唔系银布扎江花咩
kejia_000384	六点半应该返到
kejia_000385	我日了 q 都是
kejia_000386	嗯搞服装店就给他
kejia_000387	我讲啲了咩我唔记得嘞
kejia_000388	看了又会咋有西米
kejia_000389	可以可以冇问题
kejia_000390	啊七点几起
kejia_000391	我比想象中更在乎你
kejia_000392	俺哪有给本事
kejia_000393	困起刺仙刺灭哒
kejia_000394	鬼叫唔系买衫裤做啊
kejia_000395	会不会很无聊啊
kejia_000396	可以等俺玩天池吗
kejia_000397	八号九号嘅票吧
kejia_000398	搜一 q 太好
kejia_000399	本来讲不相信的
kejia_000400	哦加速兔很幽默详细嘅
kejia_000401	哈喽俺叫冇惊哦
kejia_000402	给你抓紧时间请么
kejia_000403	好啊揸件恤穿一恤
kejia_000404	连衣服都系傻嘅
kejia_000405	牙齿很会讲
kejia_000406	顺手当做你下班呢
kejia_000407	再哎哎也系蒙到啊
kejia_000408	嗯老是推颜容中夹杂东西
kejia_000409	马斯克同埋赛默
kejia_000410	齐美喊你班长好用
kejia_000411	大爷啊没信号
kejia_000412	从买到去银行
kejia_000413	刚才读所嘅诗集中嘅
kejia_000414	唔装嘛挨摔么
kejia_000415	那也裸有天花答 nq
kejia_000416	主内俺喺小刀超会
kejia_000417	一般刚刚做二十日嗯呢
kejia_000418	好啊俺都睇老虎
kejia_000419	是噶丢哈地喽将你是噶加起来
kejia_000420	等一下拨你回电话
kejia_000421	没球你夜点转去
kejia_000422	干屁干吧玩你的一干一屁
kejia_000423	你帮我联系一下招生的事情啊
kejia_000424	矮壮和卡通五花面膜
kejia_000425	看哈嘛给俺消息
kejia_000426	毛球少奶捅我快爱吧
kejia_000427	天宫也想转攻速了
kejia_000428	老婆你有时间来吗
kejia_000429	唔值得你挨讲到北京
kejia_000430	有毒叉嚟俺最中意食面条诶
kejia_000431	倾熟食前五五专五去噶
kejia_000432	红颜啊唔好同人家上位嘞
kejia_000433	希望你中意嗰只钱包
kejia_000434	老铁准唔准你结婚啊
kejia_000435	唔踩外卖嘅脚车
kejia_000436	本人汉字描述为
kejia_000437	嗨你就中秋安阳诶
kejia_000438	好啊噶俺也去试试
kejia_000439	俺过去呐自个困吧
kejia_000440	靓个屁啊冇俺靓
kejia_000441	用这种快递肯定有那设置啊
kejia_000442	唔惊唔系有车房咩
kejia_000443	你唔喊也可以呀
kejia_000444	嘛意思俺别骂你了
kejia_000445	不过财务方面的要求
kejia_000446	午休喺宿舍吹毛
kejia_000447	好天文又不用考
kejia_000448	水木嘅喺口水同你有冇
kejia_000449	很棒帮你脚差点按了一面哦
kejia_000450	用不喊么事嗯
kejia_000451	李天你做嘛没事都安慰我呀
kejia_000452	加班到广彩听讲也去
kejia_000453	又上通宵咯耶
kejia_000454	哦三点去吃嘅优惠嘅都恰
kejia_000455	想给俺就转去俺不管
kejia_000456	今家后双休几多船之王
kejia_000457	唉你得怨俺小气
kejia_000458	挨捏唔捏都冇事
kejia_000459	超爱同嬢嬢顶挑地主啊
kejia_000460	哎老雨天老冻啊好烦啊
kejia_000461	又没有帮你搞
kejia_000462	细看已成泡沫
kejia_000463	嗯迪仔 ut 三
kejia_000464	嘻嘻快害羞吧
kejia_000465	你扣木扣一摸俺用吧
kejia_000466	唔肯听曲啊
kejia_000467	男人嘅事情
kejia_000468	明明是俺家的
kejia_000469	贾秋黑养错地方嘞
kejia_000470	老婆嗯公俺爱川钱
kejia_000471	俺以为你属龙的
kejia_000472	俺妈用来洗了去木头
kejia_000473	唔系先前那件好喎
kejia_000474	俺等一下拿一桶桶装水来
kejia_000475	好俺唔怕啊俺唔怕
kejia_000476	你家还用便宜的吗
kejia_000477	怎么没办法帮加为好友
kejia_000478	呵呵呵呵呵呵
kejia_000479	在上海发财的路诶超多
kejia_000480	用起来怪好用哦
kejia_000481	教佢嘅人也系佢请嘅
kejia_000482	肾唔作痛肾囊皮痛唔解释
kejia_000483	你中意麦阿勇诶你唔抵得
kejia_000484	已经开始上课咯
kejia_000485	假五挑酸妈鸡哦
kejia_000486	上班呢呀没该睡呀
kejia_000487	准时食饭到休息吧
kejia_000488	哦给了给了钱再来
kejia_000489	电脑看下机冇
kejia_000490	我在下诸侯周末可喜庆
kejia_000491	唉又唔说笑呀
kejia_000492	好给就行安勇
kejia_000493	你搞一闷几栋房咯
kejia_000494	我方加入军蓝厨师
kejia_000495	天光你爱去哪聊啊
kejia_000496	五口人落了低血糖
kejia_000497	系啊智能度炒洋葱
kejia_000498	憋不住了俺就想别的办法
kejia_000499	个按钮也智能动作耶
kejia_000500	捱一落嚟水木奇
kejia_000501	儿子礼拜开始吾要上课
kejia_000502	唔跌哦有益通肚散痛
kejia_000503	俺两个过年真的怪累心累
kejia_000504	然后呢就我们再聊聊诶
kejia_000505	出去搞嘛嘞
kejia_000506	时间过得可真慢呐
kejia_000507	没啊俺才关注哦
kejia_000508	唉毋继续我就去诶
kejia_000509	系统五还是统计啊
kejia_000510	有嘛好友谊耶
kejia_000511	你哇挨黑咩霸上拥起
kejia_000512	哦开黑学给没用呢
kejia_000513	最近啥也没动力
kejia_000514	咁猪威楼梯来嘢
kejia_000515	工作冇跳槽加速调理啊
kejia_000516	这个唔烫就离婚
kejia_000517	崖系奴才你系别试爷
kejia_000518	唔通全都一哈了系吧
kejia_000519	毋爱毋总嘛毋挃的
kejia_000520	今日太忙啦所以将
kejia_000521	建家住在二层
kejia_000522	猛出去没意思
kejia_000523	让我有种不祥的预感
kejia_000524	高科技呀国外独黑俺不懂
kejia_000525	此系床控唔系色魔
kejia_000526	还得给老人买东西
kejia_000527	唔滴得影应用版啊
kejia_000528	今也去啊下呢食饭后
kejia_000529	好老婆奶茶呗
kejia_000530	吃唔翻唔想食
kejia_000531	你那只多一半眼装亮剑
kejia_000532	你要小三有咩好搞嘅
kejia_000533	唔系星期日就得
kejia_000534	系唔系唔认佢俾先啊
kejia_000535	唉近啊对游戏都冇感觉
kejia_000536	实习实习嘛跟你
kejia_000537	小乔一手带多的幸福一代
kejia_000538	东北人讲话慢啲几好听
kejia_000539	俺爸在厕所了现在
kejia_000540	车叫西豪下来
kejia_000541	俺吃俺的外星人背唔入关
kejia_000542	唔通兴挨差嘞呗你
kejia_000543	气啊工作恼火啊
kejia_000544	我们是好朋友啊
kejia_000545	老熊啊冲得不错赞一个
kejia_000546	怎么该想啊想着你啊
kejia_000547	我见家嘅前半铁烟加泻
kejia_000548	加油啊爆粗必胜的态度
kejia_000549	还有就听不懂啊有么个问题吗
kejia_000550	劲嘛时候走啊
kejia_000551	你好啊老婆我爱你
kejia_000552	嗯妖艳绝的耳膜
kejia_000553	哎呀看电视诶拜拜
kejia_000554	想猜了猜
kejia_000555	嗯嗯终于挨夜
kejia_000556	想你时敲打开来看下咯
kejia_000557	么时候有空过来了
kejia_000558	听到你话爱我心都好结痛
kejia_000559	日听听翻下
kejia_000560	俺们在放学去游泳得唔得行啊
kejia_000561	你以为黑暗安娜
kejia_000562	武康萧条嘅厂
kejia_000563	俺也转去用闪拍嘅
kejia_000564	挨点五口呢请进高级
kejia_000565	俺好想出去走啊
kejia_000566	矮小长帅到哪诶
kejia_000567	哎咋个下班再讲
kejia_000568	那嗯帮我登qq啊
kejia_000569	欧盟共吴国后
kejia_000570	多同老婆一下了解你
kejia_000571	呵呵条件唔错啊
kejia_000572	诉给某听香椿红富康
kejia_000573	安装东西下来把它叠好
kejia_000574	丫丫好闪的都
kejia_000575	竟然要建立特技
kejia_000576	做嘛有得人去想呢
kejia_000577	安平很呢啊
kejia_000578	中国干功惩罚的报纸
kejia_000579	唔喊你系我老婆
kejia_000580	挨卷藏旧嘅爱好上翻出来
kejia_000581	滴答边唔系人讲啊
kejia_000582	你对他感觉有病是
kejia_000583	嘿呀就睡唔落
kejia_000584	某个小说的对数
kejia_000585	自己真懂事的嘛
kejia_000586	哈絮偷喂咪饮嗯嗯
kejia_000587	连个玩笑都过不去了
kejia_000588	唔请来呀五七八子吧啦
kejia_000589	鸡巴口子跟到你呀
kejia_000590	唉怎了鬼啊皮鞋
kejia_000591	好吧落嚟水木
kejia_000592	给你的卢红消息么
kejia_000593	一定要刷哦下了班超帅
kejia_000594	三心中影高还你
kejia_000595	弱高嘅关系吧
kejia_000596	没生气啊俺马上就走了
kejia_000597	我爱同佢溜西瓜
kejia_000598	没事俺有的钱
kejia_000599	可能家用五年诶
kejia_000600	昨晚嘞再说不过吹凉了
kejia_000601	打呢超希阿姨调箱啊
kejia_000602	哈哈挨削诶
kejia_000603	冇开通微信啊
kejia_000604	好吧嘿呀鬼吗
kejia_000605	你充电不会上号告诉俺吗
kejia_000606	天然系对神佛嘅鄙夷
kejia_000607	都是外来人你唔睬我要饭
kejia_000608	上午下午看唔到
kejia_000609	给赵梦给我吓晕了呀
kejia_000610	怕号明天就带谢浩搞
kejia_000611	同劈闸卖力活
kejia_000612	这时候过堂的人比较多
kejia_000613	唉龙福珍新号码
kejia_000614	期待带着不同的风格聊天
kejia_000615	猪三秋爱变甜呢
kejia_000616	俺以为喊你凤女
kejia_000617	迷你最多战神也多
kejia_000618	先祝福你也好吧
kejia_000619	都是你自己不按时休息嘛
kejia_000620	哇你好跟慢哈哈哈
kejia_000621	绝对不能搞好你们关系
kejia_000622	给咱家房子都挖完
kejia_000623	最刺激的方法超嗨
kejia_000624	我要去建筑公司实习
kejia_000625	而家买四s划唔划算啊
kejia_000626	给阿妹香酥叉烧吃么
kejia_000627	咁就会做咯
kejia_000628	热热唔菜艺菜艺系撩啲
kejia_000629	他无法和武汉停留更多日
kejia_000630	吃春药片半天脑壳拿起来
kejia_000631	没电的嘛都不好使了
kejia_000632	我等你放假啊见了开个窗口
kejia_000633	爱的毋讲爱给毋爱就对咯
kejia_000634	嗯还没好哪门
kejia_000635	数目唔大啊太少
kejia_000636	那行路不方便
kejia_000637	一会俺来看你
kejia_000638	惊嗌做腮膜啊
kejia_000639	评卷老师眼前看嗯呢
kejia_000640	准备下班唔同车钱
kejia_000641	两只都有啲想爱
kejia_000642	飞哥东西都收拾好了吗
kejia_000643	唔觉得麻人就麻人
kejia_000644	肿么不去呀去不去去吧
kejia_000645	然后就烤鲅鱼
kejia_000646	唔系啦我签名企唉五开唔开指南啊
kejia_000647	想开啲超号你
kejia_000648	唉四个三个没办法的
kejia_000649	本恩爱版来哈气
kejia_000650	冇希望以后我的姓氏
kejia_000651	班涛玩游戏工牌是准武卡
kejia_000652	俺瞅你唔像过长帅嘅
kejia_000653	你爱我啥嘛干嘛
kejia_000654	是俺自个儿跌倒了
kejia_000655	哦你这爱好唔错
kejia_000656	你没抢啊我呀
kejia_000657	俺难道唔文明咩
kejia_000658	打了好久的电话你没接
kejia_000659	才某给你送早班
kejia_000660	冬猪去咯夏猪存到
kejia_000661	鬼嘛唔生意
kejia_000662	讲好擦泪含泪唔擦色
kejia_000663	你在哪呢俺是小娘子
kejia_000664	你终于买没事嘴买完怕买给
kejia_000665	哦吉他嘢啊专门挨阿靓啊
kejia_000666	你还没经验动手能力
kejia_000667	自己主动的很好像
kejia_000668	真爽卖马是拍瓜
kejia_000669	我问你嘛个意思
kejia_000670	都翻给阿娘用
kejia_000671	嗯哇欺价超欺价咧
kejia_000672	赛亚小马
kejia_000673	睡好俺困呢
kejia_000674	爱比福建好多了吧
kejia_000675	我根本唔打麻将嘅人
kejia_000676	好的弟的道歉啦
kejia_000677	愿除眼袋
kejia_000678	莫行一步算一步
kejia_000679	对呀我按照读本发想到
kejia_000680	互联网的前三章写完
kejia_000681	老婆你相爱么
kejia_000682	给俺不让手机充电
kejia_000683	而执行检查系长时间休息
kejia_000684	冇昨泣啊成日话你
kejia_000685	娘诶自噶靠你啊
kejia_000686	可以喊梦到福克
kejia_000687	咁喊其他人去看吧
kejia_000688	聊天真系神衰嘅拜拜
kejia_000689	没事你敢不理俺哼哼
kejia_000690	嗯奥迪的俺会走
kejia_000691	吃完呢来上班嘞
kejia_000692	然就那种来自家教诶
kejia_000693	要喺你屋企多一晚唔可以呢
kejia_000694	唔得闲半乸书记
kejia_000695	求您中午请水喝
kejia_000696	你准备找你去公司来吗点解
kejia_000697	难道忘记了爱的都
kejia_000698	睡吧快吃饭呢
kejia_000699	牙根不好看还有毛
kejia_000700	俺不要等下上天了脏发痴哈
kejia_000701	那也不是一下就去上班
kejia_000702	还给你还有四只
kejia_000703	嘿嘛你唔系嗌脚爪咩
kejia_000704	好来啦刚过来那就没事
kejia_000705	俺煮过甜的给就好哦
kejia_000706	但系扫描嘅时间长
kejia_000707	仲买得唔通唔同艾料诶
kejia_000708	哦很复杂啊不停去打牌呀
kejia_000709	咁下次咯你系冇上课
kejia_000710	其实嗯真的很辛苦的
kejia_000711	科技九也快衰诶
kejia_000712	怎么样等我过来吗
kejia_000713	爱同风鸟走吗
kejia_000714	消消气哈么么么
kejia_000715	变嘅新一页暗部
kejia_000716	还省着按摩吧
kejia_000717	是俺少你做咩俺赔呢
kejia_000718	还唔钱今日去边度料诶
kejia_000719	冇啊我住起觉得唔爽
kejia_000720	毋咬按合齿咬感觉按乖
kejia_000721	咩嘢话我点样仲要谈下咯
